time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
1.4,follower_0,52.17349166883185,-1.5535317706980092,2.7722772277227725,7.0072727272727295,follower_1,2,124.25742574257424,124.25742574257424,2,1.980198019801982,0,bottom,0,2.0792079207920793,2.0792079207920793,leader_0,0.0
1.5,follower_0,52.4791931380451,-1.5344254288721813,2.9702970297029707,7.0072727272727295,follower_1,2,122.27722772277227,122.27722772277227,2,1.980198019801982,0,bottom,0,2.3762376237623766,2.3762376237623766,leader_0,0.0
1.6,follower_0,52.805274705205896,-1.5140453309246316,3.168316831683169,7.0072727272727295,follower_1,2,120.29702970297028,120.29702970297028,2,1.980198019801982,0,bottom,0,2.6930693069306937,2.6930693069306937,leader_0,0.0
1.7,follower_0,53.15173637031424,-1.4923914768553599,3.366336633663367,7.0072727272727295,follower_1,2,118.3168316831683,118.3168316831683,2,1.980198019801982,0,bottom,0,3.0297029702970306,3.0297029702970306,leader_0,0.0
1.8,follower_0,53.518578133370134,-1.4694638666643665,3.5643564356435653,7.0072727272727295,follower_1,2,116.33663366336631,116.33663366336631,2,1.980198019801982,0,bottom,0,3.3861386138613874,3.3861386138613874,leader_0,0.0
1.9,follower_0,53.90579999437358,-1.4452625003516513,3.7623762376237635,7.0072727272727295,follower_1,2,114.35643564356434,114.35643564356434,2,1.980198019801982,0,bottom,0,3.762376237623764,3.762376237623764,leader_0,0.0
2.0,follower_0,54.31296192013756,-1.4142548869432305,3.9603960396039617,7.0072727272727295,follower_1,2,112.37623762376235,112.37623762376235,2,1.980198019801982,0,bottom,0,4.15841584158416,4.15841584158416,leader_0,0.0
2.1,follower_0,54.73979144302627,-1.37301531951437,4.1584158415841594,7.007272727272728,follower_1,2,110.39603960396038,110.39603960396038,2,1.9801980198019775,0,bottom,0,4.5742574257425765,4.5742574257425765,leader_0,0.0
2.2,follower_0,55.18694618129063,-1.3298119631603256,4.356435643564358,7.007272727272728,follower_1,2,108.41584158415841,108.41584158415841,2,1.980198019801982,0,bottom,0,5.009900990099013,5.009900990099013,leader_0,0.0
2.3,follower_0,55.654426134930645,-1.2846448178810972,4.554455445544556,7.007272727272726,follower_1,2,106.43564356435643,106.43564356435643,2,1.980198019801982,0,bottom,0,5.465346534653468,5.465346534653468,leader_0,0.0
2.4,follower_0,56.1422313039463,-1.2375138836766852,4.752475247524754,7.007272727272726,follower_1,2,104.45544554455445,104.45544554455445,2,1.980198019801982,0,bottom,0,5.940594059405944,5.940594059405944,leader_0,0.0
2.5,follower_0,56.64785252695123,-1.1676913795702086,4.950495049504952,7.007272727272724,follower_1,2,102.47524752475246,102.47524752475246,2,1.980198019801982,0,bottom,0,6.43564356435644,6.43564356435644,leader_0,0.0
2.6,follower_0,57.17322704301282,-1.0911805277165794,5.14851485148515,7.007272727272724,follower_1,2,100.49504950495049,100.49504950495049,2,1.980198019801982,0,bottom,0,6.950495049504955,6.950495049504955,leader_0,0.0
2.7,follower_0,57.71880827123063,-1.0117269507916566,5.346534653465349,7.007272727272722,follower_1,2,98.5148514851485,98.5148514851485,2,1.980198019801982,0,bottom,0,7.48514851485149,7.48514851485149,leader_0,0.0
2.8,follower_0,58.284570133722376,-0.9291711031974131,5.544554455445547,7.007272727272722,follower_1,2,96.53465346534652,96.53465346534652,2,1.980198019801982,0,bottom,0,8.039603960396045,8.039603960396045,leader_0,0.0
2.9,follower_0,58.86723998294183,-0.8234907874076094,5.742574257425745,7.007272727272721,follower_1,2,94.55445544554453,94.55445544554453,2,1.980198019801982,0,bottom,0,8.61386138613862,8.61386138613862,leader_0,0.0
3.0,follower_0,59.470001895927474,-0.7141663227974675,5.940594059405943,7.007272727272721,follower_1,2,92.57425742574256,92.57425742574256,2,1.980198019801982,0,bottom,0,9.207920792079214,9.207920792079214,leader_0,0.0
3.1,follower_0,60.09285587267931,-0.601197709366988,6.138613861386141,7.007272727272719,follower_1,2,90.59405940594057,90.59405940594057,2,1.980198019801982,0,bottom,0,9.821782178217829,9.821782178217829,leader_0,0.0
3.2,follower_0,60.73213693179959,-0.46660936520797597,6.33663366336634,7.007272727272719,follower_1,2,88.6138613861386,88.6138613861386,2,1.980198019801982,0,bottom,0,10.455445544554463,10.455445544554463,leader_0,0.0
3.3,follower_0,61.38933085345483,-0.3176885750792017,6.534653465346538,7.007272727272717,follower_1,2,86.6336633663366,86.6336633663366,2,1.980198019801982,0,bottom,0,11.108910891089117,11.108910891089117,leader_0,0.0
3.4,follower_0,62.066439742432955,-0.16425503373440437,6.732673267326736,7.007272727272717,follower_1,2,84.65346534653463,84.65346534653463,2,1.980198019801982,0,bottom,0,11.78217821782179,11.78217821782179,leader_0,0.0
3.5,follower_0,62.75993448340346,0.008092177215838256,6.930693069306934,7.007272727272715,follower_1,2,82.67326732673264,82.67326732673264,2,1.980198019801982,0,bottom,0,12.475247524752485,12.475247524752485,leader_0,0.0
3.6,follower_0,63.470753881275655,0.19552216769955086,7.128712871287132,7.007272727272715,follower_1,2,80.69306930693067,80.69306930693067,2,1.980198019801982,0,bottom,0,13.188118811881198,13.188118811881198,leader_0,0.0
3.7,follower_0,64.20131826242208,0.3881585468078106,7.326732673267331,7.0072727272727136,follower_1,2,78.71287128712868,78.71287128712868,2,1.980198019801982,0,bottom,0,13.920792079207931,13.920792079207931,leader_0,0.0
3.8,follower_0,64.94389293747311,0.6128351622390525,7.524752475247529,7.0072727272727136,follower_1,2,76.73267326732669,76.73267326732669,2,1.980198019801982,0,bottom,0,14.673267326732685,14.673267326732685,leader_0,0.0
3.9,follower_0,65.70387992031395,0.8508108841387136,7.722772277227727,7.007272727272712,follower_1,2,74.75247524752471,74.75247524752471,2,1.980198019801982,0,bottom,0,15.445544554455457,15.445544554455457,leader_0,0.0
4.0,follower_0,66.48146605829326,1.1005235922475949,7.920792079207925,7.0072727272727136,follower_1,2,72.77227722772273,72.77227722772273,2,1.980198019801982,0,bottom,0,16.23762376237625,16.23762376237625,leader_0,0.0
4.1,follower_0,67.26990597152948,1.382109275546245,8.118811881188122,7.0072727272727136,follower_1,2,70.79207920792075,70.79207920792075,2,1.980198019801973,0,bottom,0,17.04950495049506,17.04950495049506,leader_0,0.0
4.2,follower_0,68.07757612655196,1.6705629023399853,8.31683168316832,7.0072727272727136,follower_1,2,68.81188118811878,68.81188118811878,2,1.980198019801982,0,bottom,0,17.88118811881189,17.88118811881189,leader_0,0.0
4.3,follower_0,68.89510756378303,1.9905097926169737,8.514851485148519,7.0072727272727136,follower_1,2,66.83168316831679,66.83168316831679,2,1.980198019801982,0,bottom,0,18.732673267326742,18.732673267326742,leader_0,0.0
4.4,follower_0,69.72812377453168,2.3271691938521792,8.712871287128717,7.0072727272727136,follower_1,2,64.85148514851481,64.85148514851481,2,1.980198019801982,0,bottom,0,19.603960396039614,19.603960396039614,leader_0,0.0
4.5,follower_0,70.57435794122878,2.684869973568496,8.910891089108915,7.007272727272717,follower_1,2,62.87128712871283,62.87128712871283,2,1.980198019801982,0,bottom,0,20.495049504950504,20.495049504950504,leader_0,0.0
4.6,follower_0,71.43102313495878,3.0701426797433653,9.108910891089113,7.0072727272727136,follower_1,2,60.89108910891085,60.89108910891085,2,1.980198019801982,0,bottom,0,21.405940594059416,21.405940594059416,leader_0,0.0
4.7,follower_0,72.30271919650238,3.4713595982511873,9.306930693069312,7.007272727272717,follower_1,2,58.910891089108866,58.910891089108866,2,1.980198019801982,0,bottom,0,22.336633663366346,22.336633663366346,leader_0,0.0
4.8,follower_0,73.17939511450608,3.9096975572530357,9.50495049504951,7.007272727272717,follower_1,2,56.930693069306884,56.930693069306884,2,1.980198019801982,0,bottom,0,23.287128712871297,23.287128712871297,leader_0,0.0
4.9,follower_0,74.07243581081117,4.360788907039099,9.702970297029708,7.007272727272717,follower_1,2,54.9504950495049,54.9504950495049,2,1.980198019801982,0,bottom,0,24.257425742574267,24.257425742574267,leader_0,0.0
5.0,follower_0,74.96725382699651,4.852447157690388,9.900990099009906,7.0072727272727136,follower_1,2,52.97029702970292,52.97029702970292,2,1.980198019801982,0,bottom,0,25.247524752475258,25.247524752475258,leader_0,0.0
5.1,follower_0,75.878008322757,5.357330892459299,10.099009900990104,7.007272727272717,follower_1,2,50.99009900990094,50.99009900990094,2,1.980198019801982,0,bottom,0,26.257425742574267,26.257425742574267,leader_0,0.0
5.2,follower_0,76.78581141870784,5.908132770901382,10.297029702970303,7.007272727272717,follower_1,2,49.009900990098956,49.009900990098956,2,1.980198019801982,0,bottom,0,27.287128712871297,27.287128712871297,leader_0,0.0
