time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
0,car_0,41.43,-1.6,0.0,16.012,car_1,,,,,0,0,bottom,0,0.0,0.0,car_9,0.0
0.1,car_0,41.44886699169042,-1.599667053087816,0.18183948945917205,16.01290664496975,car_1,1.8183948945917205,1.9687968223183099,1.8183948945917205,1.9687968223183099,1.8183948945917205,0,bottom,0,0.018183948945917208,0.018183948945917208,car_9,0.009066449697514939
0.2,car_0,41.48476050037717,-1.5990336382286383,0.34594054004966546,16.017403184880454,car_1,1.6410105059049336,1.9641104226657353,1.6410105059049336,1.9641104226657353,1.641010505904934,0,bottom,0,0.05277800295088375,0.05277800295088375,car_9,0.044965399107021575
0.3,car_0,41.54136882519082,-1.5980346677907504,0.545589304970088,16.021934848299114,car_1,1.9964876492042252,1.9597289543675156,1.9964876492042252,1.9597289543675156,1.996487649204225,0,bottom,0,0.10733693344789255,0.10733693344789255,car_9,0.04531663418659915
0.4,car_0,41.618728408981866,-1.596669498665026,0.7455893049700879,16.022016430103488,car_1,2,1.9539829820127772,2.2255177723495017,1.9539829820127772,1.9999999999999996,0,bottom,0,0.18189586394490134,0.18189586394490134,car_9,0.00081581804372588
0.5,car_0,41.7168392517503,-1.5949381308514654,0.9455893049700879,16.01807128939351,car_1,2,1.9474807894447972,2.094565415249955,1.9474807894447972,1.9999999999999996,0,bottom,0,0.2764547944419101,0.2764547944419101,car_9,-0.03945140709978456
0.6,car_0,41.829231500548055,-1.5929547382256226,1.0832330599333821,16.020361773187204,car_1,1.3764375496329426,1.9403700101157404,1.3764375496329426,1.9403700101157404,1.3764375496329428,0,bottom,0,0.38477810043524835,0.38477810043524835,car_9,0.02290483793692122
0.7,car_0,41.96062884152586,-1.590635961620132,1.266403557692116,16.019576501354642,car_1,1.8317049775873393,1.9362387120290683,1.8317049775873393,1.9362387120290683,1.8317049775873384,0,bottom,0,0.5114184562044599,0.5114184562044599,car_9,-0.00785271832564094
0.8,car_0,42.11277744148106,-1.5879509863268049,1.466403557692116,16.013948383212057,car_1,2,1.9291211083346382,2.5081288991491366,1.9291211083346382,1.9999999999999996,0,bottom,0,0.6580588119736716,0.6580588119736716,car_9,-0.05628118142585703
0.9,car_0,42.285677300413646,-1.5848998123456417,1.666403557692116,16.005428646426008,car_1,2,1.9204392578338687,2.5366655945319594,1.9204392578338687,1.9999999999999996,0,bottom,0,0.8246991677428832,0.8246991677428832,car_9,-0.08519736786049092
1.0,car_0,42.47716422839648,-1.5815206312635914,1.8455451612979143,15.998994749279376,car_1,1.7914160360579845,1.9113881600094282,1.7914160360579845,1.9113881600094282,1.7914160360579845,0,bottom,0,1.0092536838726747,1.0092536838726747,car_9,-0.06433897146628942
1.1,car_0,42.68408210249569,-1.5778691393677233,1.9942681484976514,15.995871796527528,car_1,1.4872298719973702,1.9039211128922267,1.4872298719973702,1.9039211128922267,1.487229871997371,0,bottom,0,1.2086804987224398,1.2086804987224398,car_9,-0.031229527518497946
1.2,car_0,42.91069864556158,-1.5738700239018546,2.1841233181348447,15.99264605889004,car_1,1.8985516963719344,1.8980395349464823,1.8985516963719344,1.8980395349464823,1.8985516963719329,0,bottom,0,1.4270928305359243,1.4270928305359243,car_9,-0.032257376374875246
1.3,car_0,43.15801424517677,-1.568218747416506,2.384123318134845,15.989261184221046,car_1,2,1.889103165791103,2.2222053306052256,1.889103165791103,2.0000000000000018,0,bottom,0,1.6655051623494088,1.6655051623494088,car_9,-0.033848746689946196
1.4,car_0,43.42563461586793,-1.5512024232685133,2.584123318134845,15.982623825754576,car_1,2,1.8792501075057848,2.273263882307043,1.8792501075057848,2.0000000000000018,0,bottom,0,1.9239174941628934,1.9239174941628934,car_9,-0.06637358466468823
1.5,car_0,43.71275152641522,-1.5329464347366046,2.772380524172901,15.9771607466843,car_1,1.8825720603805616,1.8676217993461461,1.8825720603805616,1.8676217993461461,1.8825720603805607,0,bottom,0,2.2011555465801833,2.2011555465801833,car_9,-0.054630790702744125
1.6,car_0,44.01841205801215,-1.5135113720339095,2.951436413802231,15.969649346155872,car_1,1.790558896293297,1.8579526844065368,1.790558896293297,1.8579526844065368,1.7905588962932972,0,bottom,0,2.4962991879604064,2.4962991879604064,car_9,-0.07511400528426382
1.7,car_0,44.34091323071565,-1.4930055171221264,3.1140484498868646,15.965876742018981,car_1,1.6261203608463353,1.8468413244874842,1.6261203608463353,1.8468413244874842,1.626120360846337,0,bottom,0,2.807704032949093,2.807704032949093,car_9,-0.037726041368897345
1.8,car_0,44.68203169188257,-1.471315903984345,3.2938156668387433,15.960139003074406,car_1,1.7976721695187863,1.8394291186249454,1.7976721695187863,1.8394291186249454,1.797672169518787,0,bottom,0,3.137085599632967,3.137085599632967,car_9,-0.05737738944575721
1.9,car_0,45.041312583029864,-1.4421831565808807,3.474077901011138,15.95018268344888,car_1,1.8026223417239495,1.827572000134914,1.8026223417239495,1.827572000134914,1.8026223417239473,0,bottom,0,3.484493389734081,3.484493389734081,car_9,-0.0995631962552892
2.0,car_0,45.41716185954791,-1.4052499906802631,3.639304596100783,15.938433635127302,car_1,1.6522669508964503,1.8135192530072974,1.6522669508964503,1.8135192530072974,1.6522669508964505,0,bottom,0,3.8484238493441594,3.8484238493441594,car_9,-0.11749048321575106
